date,added,ratings,reviews,to-read
2022-08-16,367,156,22,272
2022-08-17,455,121,14,244
2022-08-18,304,87,5,214
2022-08-19,473,112,22,282
2022-08-20,1891,121,16,1649
2022-08-21,1989,151,7,1677
2022-08-22,1409,161,12,1133
2022-08-23,1128,142,17,856
2022-08-24,861,130,18,602
2022-08-25,511,155,13,405
2022-08-26,513,120,17,313
2022-08-27,480,125,11,278
2022-08-28,553,123,11,341
2022-08-29,572,98,15,365
2022-08-30,524,141,14,309
2022-08-31,608,120,10,375
2022-09-01,477,126,13,264
2022-09-02,432,92,8,247
2022-09-03,413,109,7,234
2022-09-04,467,112,17,264
2022-09-05,531,110,11,285
2022-09-06,414,116,9,225
2022-09-07,437,113,20,223
2022-09-08,366,101,16,192
2022-09-09,344,93,9,184
2022-09-10,330,75,12,170
2022-09-11,308,100,7,206
2022-09-12,431,111,15,244
2022-09-13,376,122,18,209
2022-09-14,382,99,8,184
2022-09-15,253,101,12,162
2022-09-16,353,86,10,173
2022-09-17,381,102,8,200
2022-09-18,414,121,12,204
2022-09-19,397,116,12,202
2022-09-20,301,112,13,204
2022-09-21,281,113,18,187
2022-09-22,383,88,13,186
2022-09-23,309,83,11,148
2022-09-24,336,103,10,167
2022-09-25,459,132,16,228
2022-09-26,327,123,17,214
2022-09-27,495,109,12,294
2022-09-28,525,92,11,335
2022-09-29,368,98,12,192
2022-09-30,411,108,8,216
2022-10-01,389,90,11,208
2022-10-02,494,104,8,257
2022-10-03,425,108,9,243
2022-10-04,343,113,14,164
2022-10-05,262,125,14,178
2022-10-06,361,82,11,197
2022-10-07,360,96,10,174
2022-10-08,408,107,12,231
2022-10-09,449,111,15,232
2022-10-10,449,131,15,221
2022-10-11,439,104,12,221
2022-10-12,367,108,13,179
2022-10-13,304,128,15,212
2022-10-14,377,116,20,188
2022-10-15,375,127,18,190
2022-10-16,462,117,10,233
2022-10-17,404,108,8,191
2022-10-18,395,98,11,189
2022-10-19,327,90,8,171
2022-10-20,313,88,16,173
2022-10-21,320,77,9,191
2022-10-22,325,78,4,189
2022-10-23,383,85,15,237
2022-10-24,318,87,10,180
2022-10-25,229,81,10,167
2022-10-26,312,75,7,179
2022-10-27,306,79,13,160
2022-10-28,257,73,5,136
2022-10-29,239,67,4,130
2022-10-30,295,72,9,141
2022-10-31,256,80,9,141
2022-11-01,354,78,9,221
2022-11-02,298,76,3,156
2022-11-03,319,88,11,193
2022-11-04,287,84,4,153
2022-11-05,302,74,18,182
2022-11-06,362,90,10,203
2022-11-07,246,85,16,137
2022-11-08,318,63,17,193
2022-11-09,316,78,6,191
2022-11-10,499,75,10,367
2022-11-11,580,55,3,473
2022-11-12,423,65,9,299
2022-11-13,435,93,7,290
2022-11-14,318,72,9,207
2022-11-15,298,76,6,167
2022-11-16,274,70,6,149
2022-11-17,193,63,7,140
2022-11-18,260,72,10,135
2022-11-19,277,76,10,152
2022-11-20,287,79,13,148
2022-11-21,311,72,8,171
2022-11-22,306,73,13,188
2022-11-23,291,78,10,173
2022-11-24,215,61,5,123
2022-11-25,270,56,5,173
2022-11-26,253,68,10,155
2022-11-27,339,87,12,204
2022-11-28,286,69,11,171
2022-11-29,244,69,9,131
2022-11-30,268,60,9,159
2022-12-01,226,87,13,126
2022-12-02,201,58,9,119
2022-12-03,260,76,14,154
2022-12-04,254,63,6,149
2022-12-05,269,58,9,165
2022-12-06,225,71,6,122
2022-12-07,199,63,6,147
2022-12-08,248,59,6,147
2022-12-09,229,52,5,143
2022-12-10,220,59,4,138
2022-12-11,259,68,12,154
2022-12-12,285,70,9,159
2022-12-13,232,68,8,132
2022-12-14,247,66,6,128
2022-12-15,229,60,7,136
2022-12-16,221,53,4,122
2022-12-17,285,86,8,156
2022-12-18,332,59,11,190
2022-12-19,279,79,13,161
2022-12-20,289,74,10,225
2022-12-21,327,71,6,215
2022-12-22,289,79,3,166
2022-12-23,301,54,5,206
2022-12-24,232,69,8,156
2022-12-25,334,58,4,237
2022-12-26,457,66,10,311
2022-12-27,471,77,13,335
2022-12-28,478,94,12,332
2022-12-29,374,95,14,294
2022-12-30,570,108,10,376
2022-12-31,576,131,16,343
2023-01-01,803,150,13,510
2023-01-02,760,183,17,478
2023-01-03,665,161,16,429
2023-01-04,538,117,10,411
2023-01-05,503,109,10,335
2023-01-06,394,90,11,245
2023-01-07,474,93,13,311
2023-01-08,478,87,13,296
2023-01-09,405,109,9,254
2023-01-10,427,93,12,262
2023-01-11,287,96,20,208
2023-01-12,355,85,13,230
2023-01-13,334,87,10,205
2023-01-14,339,62,6,210
2023-01-15,410,88,6,246
2023-01-16,395,85,11,254
2023-01-17,346,75,9,228
2023-01-18,368,77,7,230
2023-01-19,362,61,7,237
2023-01-20,258,90,6,189
2023-01-21,363,77,16,235
2023-01-22,404,97,16,230
2023-01-23,419,104,15,274
2023-01-24,374,77,13,235
2023-01-25,379,72,9,228
2023-01-26,344,81,12,208
2023-01-27,338,73,21,208
2023-01-28,345,87,7,204
2023-01-29,371,89,14,225
2023-01-30,280,95,11,201
2023-01-31,421,79,12,288
2023-02-01,315,65,12,254
